category,code,name,name_fr,description,description_fr,characteristics,priority
organization_type,org_type.holding,Holding,Holding,Parent organization that owns stakes in subsidiaries,Société mère qui détient des participations dans des filiales,Controls other entities through equity participation,10
organization_type,org_type.operating_organization,Operating Organization,Société opérationnelle,Organization that directly conducts business operations,Société qui exerce directement une activité commerciale,Generates revenue through products or services,9
organization_type,org_type.joint_venture,Joint Venture,Coentreprise,Entity jointly owned by two or more parties for a shared purpose,Entité détenue conjointement par deux parties ou plus,Common in international or cross-sector projects,8
organization_type,org_type.spv,Special Purpose Vehicle,Véhicule ad hoc,Entity created for a specific limited purpose or transaction,Entité créée pour un objet spécifique ou une opération définie,Often used in finance structured deals or real estate,7
organization_type,org_type.public_organization,Public Organization,Société cotée,Organization whose shares are traded on a public stock exchange,Société dont les titres sont admis aux négociations sur un marché réglementé,Subject to listing rules and public disclosure obligations,6
organization_type,org_type.private_organization,Private Organization,Société non cotée,Organization whose shares are not publicly traded,Société dont le capital n'est pas ouvert au public,Ownership is limited to founders investors or employees,5
organization_type,org_type.investment_vehicle,Investment Vehicle,Véhicule d'investissement,Entity structured to hold or manage financial investments,Structure dédiée à la détention ou la gestion d'actifs financiers,Includes funds SPACs and family holding vehicles,4
organization_type,org_type.shell_organization,Shell Organization,Société coquille,Organization with no active business operations or assets,Société sans activité ni actif réel,Used for restructuring holding purposes or acquisitions,3
organization_type,org_type.association,Association,Association,Non-profit membership organization governed by its members,Organisation à but non lucratif régie par ses membres,Common in France under loi 1901,20
organization_type,org_type.foundation,Foundation,Fondation,Non-profit entity created to serve a public or private charitable purpose,Entité à but non lucratif créée pour une cause d'intérêt général,Funded by an endowment or ongoing donations,19
organization_type,org_type.non_profit,Non Profit,Organisation à but non lucratif,Organization that does not distribute profits to owners or shareholders,Organisation qui ne distribue pas ses excédents à ses membres,Reinvests surplus into its mission,18
organization_type,org_type.government,Government Entity,Entité gouvernementale,Public body or governmental authority,Organisme public ou autorité gouvernementale,Includes ministries agencies and state-owned entities,30
organization_type,org_type.public_agency,Public Agency,Agence publique,Agency operating under public authority mandates,Agence opérant sous mandat d'autorité publique,Can be semi-autonomous or fully state-controlled,29
organization_type,org_type.cooperative,Cooperative,Coopérative,Organization owned and democratically controlled by its members,Organisation détenue et gérée démocratiquement par ses membres,Common in agriculture banking and retail,15
organization_type,org_type.partnership,Partnership,Société de personnes,Business entity formed by two or more persons sharing ownership,Entité formée par deux personnes ou plus partageant la propriété,Can be general or limited partnership,14
organization_type,org_type.trust,Trust,Trust,Legal arrangement where assets are held by one party for the benefit of another,Mécanisme juridique où des actifs sont détenus par un tiers au profit d'un bénéficiaire,Common in Anglo-Saxon jurisdictions and estate planning,13
organization_type,org_type.family_office,Family Office,Family Office,Private entity managing wealth and investments for a family,Structure privée de gestion patrimoniale et financière pour une famille,Can be single-family or multi-family office,12
organization_type,org_type.other,Other,Autre,Organization type not covered by other categories,Type d'organisation non couvert par les autres catégories,,0
