category,code,name,name_fr,description,description_fr,characteristics,priority
stakeholder_relation,stakeholder.shareholder,Shareholder,Actionnaire,Party that holds shares or equity in the organization,Partie qui détient des actions ou une participation au capital de la société,Can be a natural person or a legal entity,10
stakeholder_relation,stakeholder.investor,Investor,Investisseur,Party that has provided capital to the organization,Partie ayant apporté des capitaux à la société,Includes VC private equity angels and debt investors,9
stakeholder_relation,stakeholder.director,Director,Dirigeant,Person or entity acting as a director of the organization,Personne ou entité exerçant des fonctions de direction dans la société,Appointed by shareholders and legally accountable,8
stakeholder_relation,stakeholder.board_member,Board Member,Membre du conseil,Member of the board of directors or supervisory board,Membre du conseil d'administration ou du conseil de surveillance,May or may not be an executive director,7
stakeholder_relation,stakeholder.employee,Employee,Employé,Natural person employed by the organization,Personne physique liée à la société par un contrat de travail,Includes executives and staff,6
stakeholder_relation,stakeholder.customer,Customer,Client,Party that purchases goods or services from the organization,Partie qui achète des biens ou services auprès de la société,Can be individual or corporate,5
stakeholder_relation,stakeholder.supplier,Supplier,Fournisseur,Party that provides goods or services to the organization,Partie qui fournit des biens ou services à la société,Can be individual or corporate,4
stakeholder_relation,stakeholder.partner,Partner,Partenaire,Party engaged in a formal strategic or commercial partnership,Partie engagée dans un partenariat stratégique ou commercial formalisé,Distinct from equity partnership,3
stakeholder_relation,stakeholder.regulator,Regulator,Régulateur,Authority that regulates or supervises the organization,Autorité qui réglemente ou supervise l'activité de la société,Includes sector-specific and financial regulators,2
stakeholder_relation,stakeholder.other,Other,Autre,Stakeholder relationship not covered by other categories,Type de relation parties prenantes non couvert par les autres catégories,,0
